Transect	Quadrant	soil.type	X	Y	NO3f	NH4f	NO3i	NH4i	NMIN	NETN	PO4	Al	Ca	K	Mg	P	SBC	SN	TotalN	TotalC			
T1	95	V	827282.3225	1152875.193	114.1172564	264.1203306	148.2110769	238.7576809	-0.311828	-1.217636	0.756970611	1216.17373	307.5105312	123.5659989	70.82666897	3.855016168	501.9031991	386.9687578	0.480864111	6.44357909			
T1	96	V	827282.8876	1152874.368	74.83295823	748.777716	70.57568885	624.2963733	4.597808	0.152045	2.482269004	973.8054722	614.4654033	178.3764599	112.4612374	2.80408601	905.3031006	694.8720622	0.560100803	8.161468844			
T1	97	V	827283.4526	1152873.542	60.31002637	446.8310225	69.58897313	504.919188	-2.405968	-0.331391	3.159020194	973.7942598	513.6124667	109.57812	101.3932931	10.72080062	724.5838798	574.5081611	0.379358132	4.836816183			
T1	98	V	827284.0176	1152872.717	17.86870806	284.9588706	36.75903214	242.2342253	0.851226	-0.674654	8.237975991	998.9668286	751.0536946	111.2579104	136.9945259	4.039829748	999.3061309	278.9932574	0.267153	4.096346			
T1	99	V	827284.5827	1152871.892	30.61828636	144.9292301	30.47345297	142.05369	0.10787	0.005173	0.146349034	1099.220464	606.2128672	85.96160889	101.2541197	8.801992522	793.4285958	172.527143	0.382646871	4.209115581			
T1	100	V	827285.1477	1152871.067	64.65083079	84.75492424	68.62259491	28.60478693	1.863513	-0.141849	1.115524616	989.9924414	203.3691864	84.29137847	50.63735712	2.525717323	338.297922	97.22738184	0.263553126	3.074786473			
T1	101	V	827285.7128	1152870.242	54.3285432	378.7772663	42.72438709	315.9569071	2.658018	0.414434	0	1002.877796	328.7237845	93.58907677	77.32253687	8.088080959	499.6353981	358.6812942	0.282187547	3.19812553			
T1	102	V	827286.2778	1152869.417	28.85667153	86.58688983	26.82569783	84.00679058	0.164681	0.072535	0	NA	NA	NA	NA	NA	NA	110.8324884	0.177597583	2.219969791			
T1	103	V	827286.8428	1152868.592	32.6182746	65.72395729	23.41206441	100.5351395	-0.914463	0.328793	0	1063.569444	90.08922815	31.4602112	36.28695868	1.051604952	157.836398	123.9472039	0.190249898	2.853748464			
T1	104	V	827287.4079	1152867.767	67.27898632	90.08445239	84.08079184	140.4898232	-2.400256	-0.600064	1.185173333	1152.405783	174.5387391	41.16669739	53.38351025	0.908804963	269.0889467	224.570615	0.269327693	2.603501035			
T1	105	V	827287.9729	1152866.942	49.81753369	50.83432339	42.15445945	86.1459038	-0.987447	0.273681	0	940.4485522	148.6712021	69.23658173	45.13997022	0.558294717	263.0477541	128.3003633	0.193360326	2.320323906			
T1	106	V	827288.538	1152866.117	29.40529779	165.5966547	22.20165396	52.30877015	4.303269	0.257273	0.094250036	1251.15829	164.6750904	30.76675832	45.18654125	0.15004242	240.62839	74.51042411	0.178249268	2.049866584			
T1	107	V	827289.103	1152865.292	7.604086978	28.53156736	0	97.91326524	-2.206343	0.271575	0.189204377	1061.543869	131.3555193	50.31626797	37.51696565	0	219.1887529	97.91326524	0.177585743	1.687064563			
T1	108	V	827289.668	1152864.467	55.3913094	128.979984	44.30465265	154.0941802	-0.500984	0.395952	0.184848319	1313.251552	277.5607056	75.08605457	71.68660579	0.880810749	424.333366	198.3988329	0.181770655	2.635674492			
